block_time,tx_id,flash_loan_outer_instruction_index,flash_loan_program,lender,flash_loan_mint,flash_loan_symbol,flash_loan_token,flash_loan_usd
2025-10-10 19:33:29.000 UTC,2t6QktfhvpjF5gZr7xBHBZw8bXaWFiRzegVp7YcPhdL74TRDLQ58TqHZNUnQbPVMNU2L6KGwnPgAY1MYr9vdBCzi,3,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,26.378108,26.388742773875332
2025-10-10 19:33:27.000 UTC,5Rshkmn3TeWW5XffLaB3CCmzJPPA5SfWB4zjuZNQ1dj1btuG8ps6Q9Tf4S9B5yoeeFZnWoQp89zrX96KSCkP1aJJ,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,42.597239,42.61441278685683
2025-10-10 19:30:06.000 UTC,d1jYspZ1jW6HL3JTCsMKpe1yY5m5nmfTnYbPKmgvQeGFd2QDAXgzcgXKF9cEYnuszycEnhpGEC7ZAGzB2pDZ8ao,3,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,104.870495,104.91277528790083
2025-10-10 19:30:41.000 UTC,31wEcEbegCCA8i7T6CawcMHnpe2RFi1NjgQ6phRgxVJ2f9NnkuWqqhvSKoekko8q1kW15PJf1JQbponz14UncMKz,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,107.156216,107.19941781441733
2025-10-10 19:30:46.000 UTC,3wjMYscYHwZwTJ3ZhDTpedSvixCr36Qk1yfcR74qyAG2KnYzQqLCwZ74MJNKS9dn6fsLucfqv7qZETing9JuSx5V,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,176.414275,176.48539935520415
2025-10-10 19:30:20.000 UTC,25w1S3ASMcevnumBQuqmqeyACofTLJZeCMzDKLuFGMvrokKzsskSn2bLqTypFMVJeFiL3acx16ts7nMVCn3UwGpi,3,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,208.404763,208.48878485361615
2025-10-10 19:30:34.000 UTC,2fxR1z3EJn59KW6RYTbM75GaynwUuz1tW4vUwbA5yL9vq63ssXbuM7YMRtPvArQgk4kVRvzuWAi24TQQsW5vsJbK,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,101.851927,101.89299030190216
2025-10-10 19:28:40.000 UTC,57s8L7S5A48ehapHjbMffuBH1pCM54vGFiopALwyETVcB8U42GW3ProbKPUAM1qrmjFgkYQfoV3SA9CH8hduK8m8,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,105.419161,105.46166249174317
2025-10-10 19:29:29.000 UTC,54HEsQHQ6yywvGwA2RZkfBFKxbxz1j8RUQve6GAKkiFCLMdMYuv4VbkY5QAUgJRj1cPzzQJLYhESWPkLzq5a1Yeu,3,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,104.692556,104.73476454882733
2025-10-10 19:23:30.000 UTC,4DxTGyMXnsGVogf7LkmZUfeLCssWwU4QaJizitcZqAZoomaHW4GMhXu82XC1fdgjkNeDrGziPn1MySXc9Y1cgF5e,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,27.050506,27.061411862335664
2025-10-10 19:23:22.000 UTC,2esvzhoqbV8wCViEaLU7qayx6Aj9tkizHFoy3jSL1iJD8rQhDBLJB5fuHjrP9NbNsmLsxzpxQjnZbtq65LUbmRTc,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,106.49693,106.53986601227834
2025-10-10 19:22:16.000 UTC,FPdq1WDmYtEhhCRSp4irU3thGPfrtb1c3MwNmAbArMPJWXfeiLjcPZzs57pKgMvDP3Yos6PCD4Ei5t8JYXhUAPH,2,jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS,jupiter,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,USDG,28.848846,28.860476893079
